Time,Frame,label,Membrane_signal,Cytosolic_signal,ratio_mb/cyt,File
-6.0,-3.0,1.0,478.9194,216.30147,2.2141292,C2-Experiment-232-Airyscan Processing-01.czi#1_2024-Jul-3-001
-4.0,-2.0,1.0,472.16754,186.36269,2.5335948,C2-Experiment-232-Airyscan Processing-01.czi#1_2024-Jul-3-001
-2.0,-1.0,1.0,419.31384,194.01639,2.161229,C2-Experiment-232-Airyscan Processing-01.czi#1_2024-Jul-3-001
0.0,0.0,1.0,381.7141,184.95863,2.063781,C2-Experiment-232-Airyscan Processing-01.czi#1_2024-Jul-3-001
2.0,1.0,1.0,338.7004,184.53383,1.835438,C2-Experiment-232-Airyscan Processing-01.czi#1_2024-Jul-3-001
4.0,2.0,1.0,335.2532,173.79341,1.9290329,C2-Experiment-232-Airyscan Processing-01.czi#1_2024-Jul-3-001
6.0,3.0,1.0,303.93896,173.28511,1.753982,C2-Experiment-232-Airyscan Processing-01.czi#1_2024-Jul-3-001
8.0,4.0,1.0,353.38123,173.07706,2.0417566,C2-Experiment-232-Airyscan Processing-01.czi#1_2024-Jul-3-001
10.0,5.0,1.0,389.49878,171.26573,2.2742364,C2-Experiment-232-Airyscan Processing-01.czi#1_2024-Jul-3-001
12.0,6.0,1.0,331.74704,167.30186,1.9829249,C2-Experiment-232-Airyscan Processing-01.czi#1_2024-Jul-3-001
14.0,7.0,1.0,370.04468,175.69353,2.1061943,C2-Experiment-232-Airyscan Processing-01.czi#1_2024-Jul-3-001
16.0,8.0,1.0,363.30127,176.8621,2.0541499,C2-Experiment-232-Airyscan Processing-01.czi#1_2024-Jul-3-001
18.0,9.0,1.0,369.7537,178.1986,2.0749528,C2-Experiment-232-Airyscan Processing-01.czi#1_2024-Jul-3-001
20.0,10.0,1.0,346.6165,194.83704,1.7790072,C2-Experiment-232-Airyscan Processing-01.czi#1_2024-Jul-3-001
22.0,11.0,1.0,367.00177,186.3828,1.9690753,C2-Experiment-232-Airyscan Processing-01.czi#1_2024-Jul-3-001
24.0,12.0,1.0,360.29437,203.26578,1.7725284,C2-Experiment-232-Airyscan Processing-01.czi#1_2024-Jul-3-001
26.0,13.0,1.0,370.8804,182.9469,2.0272572,C2-Experiment-232-Airyscan Processing-01.czi#1_2024-Jul-3-001
28.0,14.0,1.0,420.81332,186.9575,2.2508502,C2-Experiment-232-Airyscan Processing-01.czi#1_2024-Jul-3-001
30.0,15.0,1.0,395.57935,171.40569,2.3078542,C2-Experiment-232-Airyscan Processing-01.czi#1_2024-Jul-3-001
32.0,16.0,1.0,387.6907,178.38254,2.173367,C2-Experiment-232-Airyscan Processing-01.czi#1_2024-Jul-3-001
34.0,17.0,1.0,404.48343,183.96945,2.1986446,C2-Experiment-232-Airyscan Processing-01.czi#1_2024-Jul-3-001
-6.0,-3.0,2.0,316.87006,205.72374,1.5402697,C2-Experiment-232-Airyscan Processing-01.czi#1_2024-Jul-3-001
-4.0,-2.0,2.0,307.37772,168.54964,1.8236629,C2-Experiment-232-Airyscan Processing-01.czi#1_2024-Jul-3-001
-2.0,-1.0,2.0,299.9369,173.87854,1.7249794,C2-Experiment-232-Airyscan Processing-01.czi#1_2024-Jul-3-001
0.0,0.0,2.0,241.00282,186.62175,1.2913973,C2-Experiment-232-Airyscan Processing-01.czi#1_2024-Jul-3-001
2.0,1.0,2.0,254.69002,167.8951,1.5169592,C2-Experiment-232-Airyscan Processing-01.czi#1_2024-Jul-3-001
4.0,2.0,2.0,246.47589,156.79085,1.5720043,C2-Experiment-232-Airyscan Processing-01.czi#1_2024-Jul-3-001
6.0,3.0,2.0,221.26804,163.9417,1.3496752,C2-Experiment-232-Airyscan Processing-01.czi#1_2024-Jul-3-001
