Time,Frame,label,Membrane_signal,Cytosolic_signal,ratio_mb/cyt,File
-12.0,-6.0,1.0,1074.1671,384.96207,2.7903194,C2-Experiment-769-Airyscan Processing-01.czi#1_2024-Dec-6-001
-10.0,-5.0,1.0,1012.0701,376.6424,2.687085,C2-Experiment-769-Airyscan Processing-01.czi#1_2024-Dec-6-001
-8.0,-4.0,1.0,961.52704,367.09464,2.6192892,C2-Experiment-769-Airyscan Processing-01.czi#1_2024-Dec-6-001
-6.0,-3.0,1.0,952.21686,353.53064,2.6934493,C2-Experiment-769-Airyscan Processing-01.czi#1_2024-Dec-6-001
-4.0,-2.0,1.0,954.00714,356.50043,2.6760337,C2-Experiment-769-Airyscan Processing-01.czi#1_2024-Dec-6-001
-2.0,-1.0,1.0,1009.76373,336.7061,2.9989471,C2-Experiment-769-Airyscan Processing-01.czi#1_2024-Dec-6-001
0.0,0.0,1.0,967.90393,322.67862,2.999591,C2-Experiment-769-Airyscan Processing-01.czi#1_2024-Dec-6-001
2.0,1.0,1.0,890.1534,334.01245,2.6650305,C2-Experiment-769-Airyscan Processing-01.czi#1_2024-Dec-6-001
4.0,2.0,1.0,951.6879,317.42178,2.9981809,C2-Experiment-769-Airyscan Processing-01.czi#1_2024-Dec-6-001
6.0,3.0,1.0,1202.1125,314.8777,3.8177128,C2-Experiment-769-Airyscan Processing-01.czi#1_2024-Dec-6-001
8.0,4.0,1.0,1310.4452,322.22388,4.066878,C2-Experiment-769-Airyscan Processing-01.czi#1_2024-Dec-6-001
10.0,5.0,1.0,1304.3453,310.20773,4.204748,C2-Experiment-769-Airyscan Processing-01.czi#1_2024-Dec-6-001
12.0,6.0,1.0,1263.0037,304.7978,4.143743,C2-Experiment-769-Airyscan Processing-01.czi#1_2024-Dec-6-001
14.0,7.0,1.0,1255.7242,308.82767,4.0661,C2-Experiment-769-Airyscan Processing-01.czi#1_2024-Dec-6-001
16.0,8.0,1.0,1294.103,296.0352,4.37145,C2-Experiment-769-Airyscan Processing-01.czi#1_2024-Dec-6-001
18.0,9.0,1.0,1134.6218,308.3173,3.680046,C2-Experiment-769-Airyscan Processing-01.czi#1_2024-Dec-6-001
20.0,10.0,1.0,1130.7782,328.28287,3.444524,C2-Experiment-769-Airyscan Processing-01.czi#1_2024-Dec-6-001
22.0,11.0,1.0,1130.4437,298.93765,3.7815368,C2-Experiment-769-Airyscan Processing-01.czi#1_2024-Dec-6-001
24.0,12.0,1.0,1098.984,309.2627,3.5535614,C2-Experiment-769-Airyscan Processing-01.czi#1_2024-Dec-6-001
26.0,13.0,1.0,1156.235,312.0803,3.704928,C2-Experiment-769-Airyscan Processing-01.czi#1_2024-Dec-6-001
28.0,14.0,1.0,1187.4303,305.9975,3.880523,C2-Experiment-769-Airyscan Processing-01.czi#1_2024-Dec-6-001
30.0,15.0,1.0,1258.5671,295.81628,4.2545567,C2-Experiment-769-Airyscan Processing-01.czi#1_2024-Dec-6-001
32.0,16.0,1.0,1231.0333,304.4936,4.0428877,C2-Experiment-769-Airyscan Processing-01.czi#1_2024-Dec-6-001
34.0,17.0,1.0,1176.9347,318.59836,3.6941016,C2-Experiment-769-Airyscan Processing-01.czi#1_2024-Dec-6-001
36.0,18.0,1.0,1225.6069,313.73126,3.9065502,C2-Experiment-769-Airyscan Processing-01.czi#1_2024-Dec-6-001
-12.0,-6.0,2.0,1101.9409,392.15213,2.8099833,C2-Experiment-769-Airyscan Processing-01.czi#1_2024-Dec-6-001
-10.0,-5.0,2.0,1030.6022,393.8541,2.6167107,C2-Experiment-769-Airyscan Processing-01.czi#1_2024-Dec-6-001
